date,open,high,low,close,volume
2020-05-08,136.83,137.58,136.15,136.40,8129800
2020-05-11,136.14,136.60,134.84,135.34,8713500
2020-05-12,135.72,137.19,135.70,136.73,10057300
2020-05-13,137.33,138.32,137.11,137.68,13305600
2020-05-14,139.18,139.87,138.96,139.03,10080000
2020-05-15,140.00,140.15,138.36,138.67,7225600
2020-05-18,137.19,137.30,135.11,135.63,10073100
2020-05-19,135.19,136.17,135.16,136.14,8639100
2020-05-20,135.73,137.00,135.49,136.54,10927300
2020-05-21,137.13,137.55,136.66,136.89,8920000
2020-05-22,137.02,137.82,136.93,137.71,4956700
2020-05-26,136.18,136.24,135.57,135.86,8098900
2020-05-27,135.41,136.34,135.25,135.61,8047400
2020-05-28,134.72,135.23,134.47,135.11,10272600
2020-05-29,135.35,136.49,135.05,136.08,14632700
2020-06-01,135.01,135.30,134.65,135.16,13341400
2020-06-02,134.65,135.00,134.30,134.67,11517100
2020-06-03,133.41,133.54,132.38,132.88,12255700
2020-06-04,132.36,132.44,130.92,130.96,14038600
2020-06-05,128.77,130.06,127.57,130.02,17778500
2020-06-08,129.16,130.64,129.14,130.52,10346700
2020-06-09,132.47,132.96,131.85,132.01,9095300
2020-06-10,132.63,134.01,132.47,133.96,13135500
2020-06-11,135.97,136.79,135.45,136.49,17086400
2020-06-12,135.27,136.31,134.97,135.18,9716100
2020-06-15,136.50,136.78,135.05,135.25,7759800
2020-06-16,132.77,134.29,132.18,133.18,13698900
2020-06-17,133.49,133.90,132.71,133.73,7113900
2020-06-18,134.96,135.33,134.60,135.15,7691400
2020-06-19,134.10,135.35,134.02,135.25,8565500
2020-06-22,135.92,136.11,134.99,135.27,9319700
2020-06-23,134.50,134.98,134.20,134.35,9088600
2020-06-24,134.54,135.84,134.53,135.79,11436500
2020-06-25,136.77,136.89,136.10,136.18,10968000
2020-06-26,136.80,137.69,136.74,137.64,12119300
2020-06-29,137.30,137.65,136.91,137.20,7274400
2020-06-30,137.62,137.67,136.16,136.54,14841700
2020-07-01,135.76,136.39,135.21,136.27,13181000
2020-07-02,135.67,136.54,135.29,136.41,7599800
2020-07-06,135.36,135.94,134.88,135.85,7972700
2020-07-07,136.27,137.87,136.09,137.76,12791900
2020-07-08,137.02,137.52,136.61,137.21,7253900
2020-07-09,137.31,139.63,137.26,139.40,13373100
2020-07-10,140.05,140.27,138.56,138.70,8478000
2020-07-13,138.01,139.22,137.78,139.16,8054000
2020-07-14,140.03,140.21,139.24,139.36,11344600
2020-07-15,138.36,139.21,138.28,138.71,7840300
2020-07-16,139.59,139.90,139.29,139.37,9107400
2020-07-17,139.48,139.59,138.81,139.07,8549900
2020-07-20,139.68,139.77,139.09,139.42,6907200
2020-07-21,139.51,139.86,139.32,139.50,8454400
2020-07-22,140.31,140.47,139.83,139.92,6592100
2020-07-23,140.86,141.66,140.49,141.55,10471800
2020-07-24,140.93,141.69,140.82,141.54,7520700
2020-07-27,141.97,142.01,140.92,141.02,6146400
2020-07-28,141.37,142.04,141.28,141.99,8520700
2020-07-29,141.80,142.08,140.91,141.75,6733700
2020-07-30,142.63,142.81,142.38,142.68,9376100
2020-07-31,141.88,142.98,141.71,142.59,8886000
2020-08-03,141.28,141.91,141.06,141.87,9066200
2020-08-04,142.61,143.23,142.52,143.23,9878900
2020-08-05,141.97,142.38,141.66,141.97,6954100
2020-08-06,143.07,143.79,142.43,142.77,9481800
2020-08-07,142.98,143.17,141.57,141.82,8176900
2020-08-10,142.10,142.12,141.14,141.18,6408500
2020-08-11,139.55,139.82,138.48,139.50,19234200
2020-08-12,138.33,138.64,137.73,138.23,11744800
2020-08-13,138.00,138.23,136.21,136.76,12744700
2020-08-14,136.75,137.03,136.21,136.22,6398100
2020-08-17,136.88,137.29,136.43,136.56,6901500
2020-08-18,137.21,137.63,136.98,137.54,8140600
2020-08-19,138.05,138.25,136.32,136.68,12497700
2020-08-20,138.07,138.28,137.68,137.92,10319900
2020-08-21,138.38,138.85,137.75,138.74,6836000
2020-08-24,138.84,139.39,138.46,138.52,6490600
2020-08-25,137.20,137.82,136.77,137.46,10518300
2020-08-26,136.95,137.18,136.31,136.93,8276600
2020-08-27,137.54,137.59,134.54,134.60,19860100
2020-08-28,135.05,135.28,134.10,134.50,8415400
2020-08-31,134.90,136.28,134.87,135.40,11388100
2020-09-01,135.19,137.12,134.71,136.94,10587000
2020-09-02,136.65,138.37,136.64,138.25,15167700
2020-09-03,138.52,139.77,138.27,138.64,16416600
2020-09-04,137.40,137.65,135.77,136.01,13780300
2020-09-08,137.37,138.11,136.84,136.84,13790400
2020-09-09,137.01,137.27,136.03,136.48,9558900
2020-09-10,135.77,137.35,135.35,137.17,8847700
2020-09-11,137.32,137.54,137.13,137.46,5458200
2020-09-14,137.72,137.96,137.25,137.45,4274900
2020-09-15,137.20,137.45,136.89,137.12,6928500
2020-09-16,137.71,137.81,136.21,136.71,8815200
2020-09-17,137.81,137.86,136.89,137.13,7813900
2020-09-18,137.20,137.26,136.51,136.70,7246300
2020-09-21,137.81,138.23,137.18,137.40,11086900
2020-09-22,137.43,137.80,136.95,137.29,10524100
2020-09-23,137.31,137.50,136.63,137.47,6224800
2020-09-24,137.86,138.00,137.58,138.00,8278100
2020-09-25,137.99,138.25,137.66,138.00,5140300
2020-09-28,137.79,137.81,137.37,137.61,4470100
2020-09-29,137.73,138.10,137.53,137.76,10297600
2020-09-30,137.06,137.06,135.85,136.44,12971000
2020-10-01,135.96,136.99,135.61,136.67,11523900
2020-10-02,136.88,136.93,135.68,136.16,8828800
2020-10-05,134.65,134.65,133.46,133.50,14726000
2020-10-06,133.30,135.04,132.75,134.22,22419400
2020-10-07,133.49,134.21,132.90,133.24,9429200
2020-10-08,133.83,134.07,133.57,133.96,8431500
2020-10-09,133.46,134.08,132.86,133.93,8441500
2020-10-12,134.22,134.43,133.95,134.36,3962000
2020-10-13,134.87,135.39,134.84,135.32,7914300
2020-10-14,135.81,136.16,135.51,135.63,6954800
2020-10-15,136.40,136.53,135.23,135.40,9458800
2020-10-16,135.25,135.80,134.78,135.02,8416300
2020-10-19,134.28,134.68,133.90,134.51,9286600
2020-10-20,133.74,133.87,132.98,133.23,11189000
2020-10-21,132.85,133.33,132.49,132.77,10453700
2020-10-22,132.43,132.71,131.32,131.39,12664900
2020-10-23,131.19,132.36,131.14,132.19,8783800
2020-10-26,133.20,133.87,133.03,133.42,7227300
2020-10-27,134.05,134.44,133.77,134.32,6062300
2020-10-28,135.01,135.08,134.02,134.44,11765800
2020-10-29,134.47,134.55,132.58,133.14,11932400
2020-10-30,133.05,133.31,131.82,131.82,13095400
2020-11-02,132.91,133.32,132.60,132.81,10810500
2020-11-03,132.20,132.31,131.52,132.04,16228700
